Name,Country,MarketCap_USD,MarketCap_GBP,MarketCap_EUR,MarketCap_INR
Industrial and Commercial Bank of China,China,6303.44,4896.26,5798.28,527405.16
Agricultural Bank of China,China,5623.12,4367.82,5172.48,470483.19
China Construction Bank,China,5400.28,4194.72,4967.5,451838.29
Bank of China,China,4578.28,3556.23,4211.38,383062.03
JPMorgan Chase,UnitedStates,3875.39,3010.25,3564.82,324251.63
Bank of America,UnitedStates,3180.15,2470.21,2925.29,266081.3
HSBC,UnitedKingdom,2919.84,2268.02,2685.84,244301.32
BNP Paribas,France,2867.44,2227.31,2637.64,239917.04
Mitsubishi UFJ Financial Group,Japan,2816.77,2187.95,2591.03,235677.51
Crédit Agricole,France,2736.95,2125.95,2517.61,228999.02
Postal Savings Bank of China,China,2217.86,1722.75,2040.12,185567.06
Citigroup,UnitedStates,2200.83,1709.52,2024.46,184142.17
SMBC Group,Japan,2027.34,1574.76,1864.87,169626.36
Banco Santander,Spain,1986.36,1542.93,1827.17,166197.59
Bank of Communications,China,1982.89,1540.23,1823.98,165907.25
Wells Fargo,UnitedStates,1932.47,1501.07,1777.6,161688.64
Mizuho Financial Group,Japan,1923.56,1494.14,1769.41,160943.15
Barclays,UnitedKingdom,1891.72,1469.41,1740.12,158279.11
Société Générale,France,1717.49,1334.08,1579.85,143701.39
UBS,Switzerland,1717.25,1333.89,1579.63,143681.31
Groupe BPCE,France,1706.8,1325.77,1570.02,142806.96
Goldman Sachs,UnitedStates,1641.59,1275.12,1510.03,137350.88
Japan Post Bank,Japan,1625.6,1262.7,1495.32,136013.01
Royal Bank of Canada,Canada,1566.41,1216.72,1440.88,131060.62
China Merchants Bank,China,1555.3,1208.09,1430.66,130131.05
Deutsche Bank,Germany,1450.57,1126.74,1334.32,121368.35
Industrial Bank (China),China,1432.59,1112.78,1317.78,119863.97
Toronto-Dominion Bank,Canada,1428.29,1109.44,1313.83,119504.19
China CITIC Bank,China,1276.63,991.64,1174.32,106814.89
Crédit Mutuel,France,1262.95,981.01,1161.74,105670.29
Shanghai Pudong Development Bank,China,1207.18,937.69,1110.44,101004.05
Morgan Stanley,UnitedStates,1193.69,927.21,1098.03,99875.35
Lloyds Banking Group,UnitedKingdom,1122.76,872.12,1032.78,93940.68
China Minsheng Bank,China,1082.37,840.74,995.63,90561.27
ING Group,Netherlands,1078.35,837.62,991.93,90224.92
Intesa Sanpaolo,Italy,1066.74,828.6,981.25,89253.52
Scotiabank,Canada,1041.11,808.69,957.68,87109.07
Bank of Montreal,Canada,990.19,769.14,910.84,82848.62
China Everbright Bank,China,955.14,741.91,878.6,79916.01
NatWest Group,UnitedKingdom,882.3,685.34,811.59,73821.53
UniCredit,Italy,872.9,678.03,802.95,73035.04
Commonwealth Bank,Australia,868.74,674.8,799.12,72686.97
Banco Bilbao Vizcaya Argentaria,Spain,857.25,665.88,788.55,71725.61
Standard Chartered,UnitedKingdom,822.84,639.15,756.9,68846.55
La Banque postale,France,815.91,633.77,750.52,68266.72
Ping An Bank,China,787.93,612.03,724.79,65925.65
State Bank of India,India,780.05,605.91,717.54,65266.33
ANZ Group,Australia,769.59,597.79,707.92,64391.15
Canadian Imperial Bank of Commerce,Canada,726.27,564.14,668.07,60766.59
DZ Bank,Germany,712.49,553.43,655.39,59613.62
Norinchukin Bank,Japan,702.03,545.31,645.77,58738.44
National Australia Bank,Australia,683.41,530.85,628.64,57180.52
Rabobank,Netherlands,678.45,526.99,624.08,56765.52
CaixaBank,Spain,671.13,521.31,617.35,56153.06
Westpac,Australia,664.5,516.16,611.25,55598.33
U.S. Bancorp,UnitedStates,663.49,515.37,610.32,55513.82
Nordea,Finland,662.71,514.77,609.6,55448.56
Capital One,UnitedStates,629.99,489.35,579.5,52710.9
Sberbank of Russia,Russia,581.88,451.98,535.25,48685.56
Commerzbank,Germany,571.64,444.03,525.83,47828.79
Huaxia Bank,China,562.58,436.99,517.49,47070.74
PNC Financial Services,UnitedStates,561.58,436.21,516.58,46987.07
DBS Group,Singapore,560.1,435.06,515.21,46863.24
Itaú Unibanco,Brazil,555.72,431.66,511.18,46496.77
KB Financial Group,SouthKorea,551.94,428.72,507.71,46180.5
Danske Bank,Denmark,542.81,421.63,499.31,45416.6
Truist Financial Corp,UnitedStates,535.35,415.84,492.45,44792.42
Shinhan Financial Group,SouthKorea,533.48,414.39,490.73,44635.96
Resona Holdings,Japan,527.53,409.76,485.25,44138.13
Sumitomo Mitsui Trust Holdings,Japan,520.34,404.18,478.64,43536.55
Bank of Beijing,China,503.31,390.95,462.97,42111.66
China Guangfa Bank,China,495.55,384.92,455.84,41462.38
Charles Schwab Corporation,UnitedStates,493.18,383.08,453.66,41264.08
HDFC Bank,India,464.34,360.68,427.13,38851.06
Bank of Jiangsu,China,457.25,355.17,420.61,38257.84
Hana Financial Group,SouthKorea,456.47,354.57,419.89,38192.58
Banco do Brasil,Brazil,447.72,347.77,411.84,37460.47
Nationwide Building Society,UnitedKingdom,446.95,347.17,411.13,37396.05
China Zheshang Bank,China,443.37,344.39,407.84,37096.51
OCBC,Singapore,441.53,342.96,406.15,36942.56
Bank of Shanghai,China,435.14,338.0,400.27,36407.91
ABN AMRO,Netherlands,417.72,324.47,384.24,34950.39
BNY,UnitedStates,409.88,318.38,377.03,34294.42
United Overseas Bank,Singapore,396.62,308.08,364.83,33184.97
Banco Bradesco,Brazil,394.76,306.63,363.12,33029.34
Nonghyup Bank,SouthKorea,394.46,306.4,362.85,33004.24
Nomura Holdings,Japan,388.42,301.71,357.29,32498.88
Woori Financial Group,SouthKorea,382.05,296.76,351.43,31965.9
KBC Group,Belgium,383.47,297.86,352.74,32084.71
Caixa Econômica Federal,Brazil,377.29,293.06,347.05,31567.64
Erste Group,Austria,372.67,289.48,342.8,31181.08
Landesbank Baden-Württemberg,Germany,368.41,286.17,338.89,30824.65
Bank of Ningbo,China,365.96,284.26,336.63,30619.66
SEB Group,Sweden,358.79,278.69,330.04,30019.75
